Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
16185500.00, 38.691719, -9.298543, 308.00, 109.95, 161.95, 5.50,95,43, 2056, 45.00, 345.71
16185600.00, 38.691723, -9.298543, 307.47, 109.95, 162.47, 5.50,94,41, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.42, 109.95, 162.53, 5.50,95,42, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.93, 109.95, 162.02, 5.50,95,42, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.45, 109.95, 162.50, 5.50,95,42, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.15, 109.95, 162.80, 5.50,95,42, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.69, 109.95, 162.26, 5.50,95,42, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.91, 109.95, 163.04, 5.50,95,41, 2056, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.09, 109.95, 162.86, 5.50,95,42, 2028, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.47, 109.95, 162.48, 5.50,95,42, 2028, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.55, 109.95, 162.40, 5.50,95,42, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.65, 109.95, 162.30, 5.50,95,42, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.49, 109.95, 162.45, 5.50,95,42, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.99, 109.95, 162.96, 5.50,95,41, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 307.20, 109.95, 162.75, 5.50,95,42, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.85, 109.95, 163.09, 5.50,95,41, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.21, 109.95, 163.74, 5.50,95,41, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.02, 109.95, 163.92, 5.50,95,41, 2032, 45.00, 345.85
16185600.00, 38.691723, -9.298543, 306.37, 109.95, 163.58, 5.50,95,41, 2028, 45.00, 345.85
16185700.00, 38.691719, -9.298543, 306.47, 109.95, 163.48, 5.50,95,41, 2028, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 306.57, 109.95, 163.38, 5.50,95,41, 2028, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 306.43, 109.95, 163.52, 5.50,95,41, 2028, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 306.96, 109.95, 162.99, 5.50,95,41, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.13, 109.95, 162.82, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.48, 109.95, 162.47, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.42, 109.95, 162.52, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.88, 109.95, 162.07, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 308.06, 109.95, 161.89, 5.50,95,43, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.91, 109.95, 162.04, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.79, 109.95, 162.16, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 308.16, 109.95, 161.79, 5.50,95,43, 2028, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.90, 109.95, 162.04, 5.50,95,42, 2028, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.66, 109.95, 162.28, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.80, 109.95, 162.14, 5.50,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.47, 109.95, 162.48, 5.56,95,42, 2032, 45.00, 345.71
16185700.00, 38.691719, -9.298543, 307.91, 109.95, 162.04, 5.56,95,42, 2032, 45.00, 345.71
16185800.00, 38.691719, -9.298544, 307.70, 109.95, 162.25, 5.50,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.67, 109.95, 162.28, 5.50,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.43, 109.95, 162.52, 5.50,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.29, 109.95, 162.66, 5.44,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.32, 109.95, 162.63, 5.44,94,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.74, 109.95, 162.21, 5.37,94,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.26, 109.95, 162.68, 5.37,95,42, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 306.81, 109.95, 163.14, 5.37,95,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.13, 109.95, 162.82, 5.44,94,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.26, 109.95, 162.69, 5.31,94,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.45, 109.95, 162.50, 5.37,95,42, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.10, 109.95, 162.85, 5.37,95,42, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 306.84, 109.95, 163.11, 5.31,95,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 306.82, 109.95, 163.13, 5.25,95,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 306.78, 109.95, 163.17, 5.31,95,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 306.77, 109.95, 163.18, 5.25,95,41, 2032, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.33, 109.95, 162.62, 5.31,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.05, 109.95, 162.90, 5.37,95,42, 2028, 45.00, 345.79
16185800.00, 38.691719, -9.298544, 307.54, 109.95, 162.41, 5.44,95,42, 2028, 45.00, 345.79
16185900.00, 38.691719, -9.298543, 307.34, 109.95, 162.60, 5.62,95,42, 2028, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 307.15, 109.95, 162.80, 5.69,96,43, 2028, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 307.56, 109.95, 162.39, 5.75,96,43, 2028, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 307.49, 109.95, 162.46, 5.75,96,43, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 307.02, 109.95, 162.93, 5.81,96,43, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 306.43, 109.95, 163.52, 5.87,95,41, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 306.40, 109.95, 163.55, 5.87,95,41, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 305.76, 109.95, 164.19, 5.75,95,40, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 305.48, 109.95, 164.46, 5.62,95,40, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 305.16, 109.95, 164.79, 5.56,94,39, 2028, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 304.91, 109.95, 165.04, 5.62,94,38, 2028, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 304.96, 109.95, 164.98, 5.62,93,37, 2032, 45.00, 345.71
16185900.00, 38.691719, -9.298543, 304.75, 109.95, 165.19, 5.37,93,37, 2032, 45.00, 345.71
