Time, Latitude, Longitude, currentHeading, desiredHeading, headingError, Roll, WindReading, WindDirection, winchPulseWidth, autoRudderAngle, distanceToTarget 
16455400.00, 38.691292, -9.294639, 156.15, 191.24, 35.08, 7.94,333,129, 1632, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.39, 191.24, 34.85, 8.63,333,129, 1632, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 155.95, 191.24, 35.28, 9.13,335,130, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.28, 191.24, 34.95, 9.50,335,131, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.30, 191.24, 34.94, 9.44,338,134, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.67, 191.24, 34.56, 9.06,338,134, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.75, 191.24, 34.49, 8.44,341,137, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.16, 191.24, 34.08, 7.81,341,138, 1608, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.32, 191.24, 33.91, 7.12,339,136, 1584, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.45, 191.24, 33.79, 6.69,339,136, 1584, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.45, 191.24, 33.79, 6.19,331,128, 1580, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.24, 191.24, 34.00, 5.69,331,128, 1580, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.07, 191.24, 34.17, 5.31,326,123, 1556, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.86, 191.24, 34.38, 5.06,326,122, 1556, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 157.10, 191.24, 34.14, 5.37,320,117, 1556, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.73, 191.24, 34.50, 6.00,320,116, 1556, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.64, 191.24, 34.60, 6.87,321,117, 1508, 25.00, 71.81
16455400.00, 38.691292, -9.294639, 156.34, 191.24, 34.90, 7.94,321,117, 1508, 25.00, 71.81
16455700.00, 38.691292, -9.294637, 155.79, 191.24, 35.45, 9.38,322,117, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 155.91, 191.24, 35.33, 10.81,322,117, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 155.56, 191.24, 35.67, 11.94,319,114, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 155.54, 191.24, 35.69, 12.94,319,114, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 156.30, 191.24, 34.93, 13.50,3,159, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 156.34, 191.24, 34.90, 13.13,3,159, 1508, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 156.70, 191.24, 34.54, 12.75,321,117, 1480, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.04, 191.24, 34.20, 12.19,321,118, 1480, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.47, 191.24, 33.76, 11.56,302,99, 1464, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.93, 191.24, 33.30, 10.63,302,99, 1464, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 158.17, 191.24, 33.07, 9.63,281,79, 1468, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 158.04, 191.24, 33.19, 8.50,281,79, 1468, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.87, 191.24, 33.36, 7.50,263,60, 1464, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.62, 191.24, 33.62, 6.50,263,60, 1464, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.38, 191.24, 33.85, 5.75,253,50, 1468, 25.00, 71.84
16455700.00, 38.691292, -9.294637, 157.29, 191.24, 33.94, 4.94,253,50, 1468, 25.00, 71.84
16455800.00, 38.691292, -9.294636, 157.37, 191.24, 33.87, 4.25,253,50, 1464, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 157.31, 191.24, 33.93, 3.50,253,50, 1464, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 157.26, 191.24, 33.97, 3.12,255,52, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.88, 191.24, 34.36, 3.12,255,51, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.92, 191.24, 34.32, 3.31,264,60, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 157.02, 191.24, 34.21, 3.62,264,61, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.25, 191.24, 34.99, 4.00,281,77, 1428, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.35, 191.24, 34.89, 4.37,281,77, 1428, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.36, 191.24, 34.88, 4.81,304,100, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.56, 191.24, 34.68, 5.50,304,100, 1432, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.32, 191.24, 34.92, 6.19,334,130, 1380, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.21, 191.24, 35.03, 6.94,334,130, 1380, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.20, 191.24, 35.03, 7.25,358,154, 1332, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.72, 191.24, 34.52, 7.56,358,154, 1332, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.35, 191.24, 34.89, 7.75,16,172, 1304, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.56, 191.24, 34.67, 7.87,16,172, 1304, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.49, 191.24, 34.74, 8.00,10,166, 1304, 25.00, 71.86
16455800.00, 38.691292, -9.294636, 156.45, 191.24, 34.79, 8.00,10,166, 1304, 25.00, 71.86
16455900.00, 38.691296, -9.294636, 156.49, 191.24, 34.74, 8.00,353,149, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.65, 191.24, 34.59, 8.44,353,149, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.32, 191.24, 34.91, 8.75,326,122, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.63, 191.24, 34.61, 8.63,326,122, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.94, 191.24, 34.30, 8.06,327,123, 1252, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.81, 191.24, 34.43, 7.19,327,123, 1252, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.96, 191.24, 34.28, 6.69,329,125, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 157.13, 191.24, 34.11, 6.37,329,126, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.78, 191.24, 34.45, 6.50,337,133, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.71, 191.24, 34.53, 7.06,337,133, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.19, 191.24, 35.05, 8.00,333,129, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.24, 191.24, 35.00, 8.69,333,129, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.03, 191.24, 35.20, 9.69,345,141, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 155.87, 191.24, 35.37, 10.63,345,140, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 155.66, 191.24, 35.58, 12.00,351,146, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 155.49, 191.24, 35.74, 13.13,351,146, 1256, 25.00, 72.27
16455900.00, 38.691296, -9.294636, 156.11, 191.24, 35.13, 13.81,357,153, 1256, 25.00, 72.27
16460000.00, 38.691296, -9.294635, 156.16, 191.24, 35.07, 13.75,357,153, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 156.57, 191.24, 34.67, 13.31,2,158, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 157.44, 191.24, 33.80, 12.69,2,159, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 158.26, 191.24, 32.97, 11.50,5,163, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 158.54, 191.24, 32.69, 9.88,5,163, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.33, 191.24, 31.91, 8.06,3,162, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.65, 191.24, 31.58, 6.44,3,162, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.65, 191.24, 31.59, 5.12,358,157, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.04, 191.24, 31.19, 3.81,358,158, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.35, 191.24, 30.89, 2.94,355,155, 1264, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.57, 191.24, 30.67, 2.12,355,155, 1264, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.48, 191.24, 30.75, 1.62,355,155, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.33, 191.24, 30.91, 1.19,355,155, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.26, 191.24, 30.97, 1.00,20,180, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.94, 191.24, 31.30, 1.00,20,179, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.47, 191.24, 31.76, 0.81,34,193, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.87, 191.24, 31.37, 0.19,34,193, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.38, 191.24, 30.86, -0.62,54,214, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 161.03, 191.24, 30.21, -1.62,54,215, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.86, 191.24, 30.38, -2.06,85,245, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.76, 191.24, 30.48, -2.37,85,245, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 161.21, 191.24, 30.03, -3.12,113,274, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.87, 191.24, 30.36, -3.75,113,273, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.77, 191.24, 30.47, -4.19,144,304, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 160.26, 191.24, 30.98, -4.06,144,304, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 159.43, 191.24, 31.81, -3.94,173,332, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 158.73, 191.24, 32.51, -3.94,173,331, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 157.88, 191.24, 33.36, -3.87,193,350, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 157.18, 191.24, 34.05, -3.75,193,350, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 156.83, 191.24, 34.40, -3.31,192,348, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 156.22, 191.24, 35.02, -2.94,192,348, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.78, 191.24, 35.45, -2.69,192,348, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.19, 191.24, 36.04, -2.69,192,348, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 154.93, 191.24, 36.30, -2.69,118,272, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.27, 191.24, 35.96, -2.56,118,273, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.45, 191.24, 35.79, -2.44,71,226, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.43, 191.24, 35.81, -2.81,71,226, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.72, 191.24, 35.52, -3.50,51,206, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 155.89, 191.24, 35.34, -4.19,51,206, 1256, 25.00, 72.29
16460000.00, 38.691296, -9.294635, 156.68, 191.24, 34.55, -4.62,50,206, 1256, 25.00, 72.29
